contentId,Raw Score,Final Score,Breakdown
16,63.915587505262906,63.915587505262906,Type Score: 22.5/45; Distance Score: 25.0/25; Time Score: 1.42/15; Price Score: 15.0/15; Hours Until Event: 72.8 hours; Raw Score: 63.915587505262906/100; Penalized Score: 63.915587505262906/100
1,70.0,46.17975854114584,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 0.0/15; Hours Until Event: 288.3 hours; Raw Score: 70.0/100; Penalized Score: 46.17975854114584/100
18,85.0,42.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 15.0/15; Hours Until Event: 2429.3 hours; Raw Score: 85.0/100; Penalized Score: 42.5/100
17,85.0,42.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 15.0/15; Hours Until Event: 864.3 hours; Raw Score: 85.0/100; Penalized Score: 42.5/100
19,77.5,38.75,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 7.5/15; Hours Until Event: 1080.3 hours; Raw Score: 77.5/100; Penalized Score: 38.75/100
14,77.5,38.75,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 7.5/15; Hours Until Event: 696.3 hours; Raw Score: 77.5/100; Penalized Score: 38.75/100
13,77.5,38.75,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 7.5/15; Hours Until Event: 1002.3 hours; Raw Score: 77.5/100; Penalized Score: 38.75/100
2,70.0,24.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 0.0/15; Hours Until Event: 456.3 hours; Raw Score: 70.0/100; Penalized Score: 24.5/100
12,70.0,24.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 0.0/15; Hours Until Event: 1122.3 hours; Raw Score: 70.0/100; Penalized Score: 24.5/100
20,70.0,24.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 0.0/15; Hours Until Event: 1800.3 hours; Raw Score: 70.0/100; Penalized Score: 24.5/100
15,70.0,24.5,Type Score: 45.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 0.0/15; Hours Until Event: 1460.8 hours; Raw Score: 70.0/100; Penalized Score: 24.5/100
5,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 4493.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
4,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 4469.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
11,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 6677.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
9,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 6629.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
10,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 6653.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
6,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 5453.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
3,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 4445.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
7,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 5477.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
8,36.25,18.125,Type Score: 0.0/45; Distance Score: 25.0/25; Time Score: 0.0/15; Price Score: 11.25/15; Hours Until Event: 5501.3 hours; Raw Score: 36.25/100; Penalized Score: 18.125/100
